,name,categories,address,crossStreet,lat,lng,labeledLatLngs,distance,cc,city,state,country,formattedAddress,postalCode,neighborhood,id,point name
15,David H. Koch Theater,Theater,Lincoln Center Plaza,at W 63rd St & Columbus Ave,40.772292228782284,-73.9832624208871,"[{'label': 'display', 'lat': 40.772292228782284, 'lng': -73.9832624208871}]",1095,US,New York,NY,United States,"['Lincoln Center Plaza (at W 63rd St & Columbus Ave)', 'New York, NY 10023', 'United States']",10023,,49ff4eecf964a52005701fe3,Central park zoo new york
16,The Metropolitan Opera (Metropolitan Opera),Opera House,70 Lincoln Center Plz,at Columbus Ave,40.77274188001071,-73.9844012260437,"[{'label': 'display', 'lat': 40.77274188001071, 'lng': -73.9844012260437}]",1203,US,New York,NY,United States,"['70 Lincoln Center Plz (at Columbus Ave)', 'New York, NY 10023', 'United States']",10023,,48e480eef964a52022521fe3,Central park zoo new york
17,Central Park Loop,Track,Central Park,btwn 85th & 96th St,40.77758420956305,-73.96678447723389,"[{'label': 'display', 'lat': 40.77758420956305, 'lng': -73.96678447723389}]",1190,US,New York,NY,United States,"['Central Park (btwn 85th & 96th St)', 'New York, NY 10023', 'United States']",10023,,4b76ed15f964a520366b2ee3,Central park zoo new york
18,The Metropolitan Museum of Art (Metropolitan Museum of Art),Art Museum,1000 5th Ave,btwn E 80th & E 84th St,40.77972902126812,-73.96341562271118,"[{'label': 'display', 'lat': 40.77972902126812, 'lng': -73.96341562271118}]",1525,US,New York,NY,United States,"['1000 5th Ave (btwn E 80th & E 84th St)', 'New York, NY 10028', 'United States']",10028,,427c0500f964a52097211fe3,Central park zoo new york
19,Delacorte Theater,Theater,Central Park,at 79th St,40.78026521337381,-73.96878004074097,"[{'label': 'display', 'lat': 40.78026521337381, 'lng': -73.96878004074097}]",1433,US,New York,NY,United States,"['Central Park (at 79th St)', 'New York, NY 10028', 'United States']",10028,Central Park,4a314b58f964a520ae991fe3,Central park zoo new york
20,Metropolitan Museum Steps,Plaza,1000 5th Ave,at 82nd St,40.77906283716806,-73.96251440048218,"[{'label': 'display', 'lat': 40.77906283716806, 'lng': -73.96251440048218}]",1498,US,New York,NY,United States,"['1000 5th Ave (at 82nd St)', 'New York, NY 10028', 'United States']",10028,,4c30f3c166e40f477d4fc48b,Central park zoo new york
21,TMPL,Gym,355 W 49th St,8th Avenue,40.762549725908436,-73.98817701719275,"[{'label': 'display', 'lat': 40.762549725908436, 'lng': -73.98817701719275}]",1487,US,New York,NY,United States,"['355 W 49th St (8th Avenue)', 'New York, NY 10019', 'United States']",10019,,566dd692498eadbfb75805ef,Central park zoo new york
22,Levain Bakery,Bakery,351 Amsterdam Ave,at W 77th St,40.781513,-73.97926,"[{'label': 'display', 'lat': 40.781513, 'lng': -73.97926}]",1670,US,New York,NY,United States,"['351 Amsterdam Ave (at W 77th St)', 'New York, NY 10024', 'United States']",10024,Upper West Side,59541640a22db738071fa21f,Central park zoo new york
23,Central Park,Park,59th St to 110th St,5th Ave to Central Park West,40.78307608904521,-73.96549701690674,"[{'label': 'display', 'lat': 40.78307608904521, 'lng': -73.96549701690674}]",1803,US,New York,NY,United States,"['59th St to 110th St (5th Ave to Central Park West)', 'New York, NY 10028', 'United States']",10028,,412d2800f964a520df0c1fe3,Central park zoo new york
24,Temple of Dendur,Exhibit,1000 5th Ave,at 83rd St.,40.780411446833284,-73.96267533302307,"[{'label': 'display', 'lat': 40.780411446833284, 'lng': -73.96267533302307}]",1622,US,New York,NY,United States,"['1000 5th Ave (at 83rd St.)', 'New York, NY 10028', 'United States']",10028,,4c8bd941ed3ab60c65216221,Central park zoo new york
25,Los Tacos No. 1,Taco Place,229 W 43rd St,btwn 7th & 8th Ave,40.757237,-73.987454,"[{'label': 'display', 'lat': 40.757237, 'lng': -73.987454}]",1750,US,New York,NY,United States,"['229 W 43rd St (btwn 7th & 8th Ave)', 'New York, NY 10036', 'United States']",10036,Theater District,59580ce6db1d8148fee3d383,Central park zoo new york
26,Beacon Theatre,Concert Hall,2124 Broadway,at W 74th St,40.78055425266116,-73.98043206426468,"[{'label': 'display', 'lat': 40.78055425266116, 'lng': -73.98043206426468}]",1613,US,New York,NY,United States,"['2124 Broadway (at W 74th St)', 'New York, NY 10023', 'United States']",10023,,3fd66200f964a52020e81ee3,Central park zoo new york
27,Bryant Park,Park,E 42nd St,btwn 5th & 6th Ave,40.75387292806952,-73.9836287498474,"[{'label': 'display', 'lat': 40.75387292806952, 'lng': -73.9836287498474}]",1822,US,New York,NY,United States,"['E 42nd St (btwn 5th & 6th Ave)', 'New York, NY 10018', 'United States']",10018,Midtown,3fd66200f964a520d7f11ee3,Central park zoo new york
28,Levain Bakery,Bakery,1484 3rd Ave,,40.777354,-73.955284,"[{'label': 'display', 'lat': 40.777354, 'lng': -73.955284}, {'label': 'entrance', 'lat': 40.777377, 'lng': -73.955245}]",1768,US,New York,NY,United States,"['1484 3rd Ave', 'New York, NY 10028', 'United States']",10028,,5d2ccef540f3b0002ffe517d,Central park zoo new york
29,Majestic Theatre,Theater,245 W 44th St,btwn 7th & 8th Ave,40.758267590709956,-73.98810677744484,"[{'label': 'display', 'lat': 40.758267590709956, 'lng': -73.98810677744484}, {'label': 'entrance', 'lat': 40.758313, 'lng': -73.988096}]",1720,US,New York,NY,United States,"['245 W 44th St (btwn 7th & 8th Ave)', 'New York, NY 10036', 'United States']",10036,,4b1074dbf964a520d47023e3,Central park zoo new york
30,Books Kinokuniya,Bookstore,1073 Avenue of the Americas,btwn W 40th & W 41st St,40.75405320187223,-73.98464945969599,"[{'label': 'display', 'lat': 40.75405320187223, 'lng': -73.98464945969599}]",1854,US,New York,NY,United States,"['1073 Avenue of the Americas (btwn W 40th & W 41st St)', 'New York, NY 10018', 'United States']",10018,,49ef71e3f964a520b8681fe3,Central park zoo new york
31,SoulCycle East 83rd,Cycle Studio,1470 3rd Ave,at E 83rd St,40.77699051498346,-73.95532907885685,"[{'label': 'display', 'lat': 40.77699051498346, 'lng': -73.95532907885685}]",1741,US,New York,NY,United States,"['1470 3rd Ave (at E 83rd St)', 'New York, NY 10028', 'United States']",10028,,4be1910358102d7faed64156,Central park zoo new york
32,New York Public Library Terrace,Plaza,476 5th Ave,btwn W 40th & W 42nd St,40.75301665207755,-73.98147986022437,"[{'label': 'display', 'lat': 40.75301665207755, 'lng': -73.98147986022437}]",1815,US,New York,NY,United States,"['476 5th Ave (btwn W 40th & W 42nd St)', 'New York, NY 10018', 'United States']",10018,,4ddaf97b183802d5373be2eb,Central park zoo new york
33,Broadway Dance Center,Dance Studio,322 W 45th St,btwn 8th & 9th Ave,40.759489759762815,-73.98956180541293,"[{'label': 'display', 'lat': 40.759489759762815, 'lng': -73.98956180541293}, {'label': 'entrance', 'lat': 40.759547, 'lng': -73.989549}]",1745,US,New York,NY,United States,"['322 W 45th St (btwn 8th & 9th Ave)', 'New York, NY 10036', 'United States']",10036,,46a9bed8f964a52054491fe3,Central park zoo new york
34,Riverside Park South,Park,Riverside Blvd,65th & 72nd Sts,40.77832352747964,-73.98911118507385,"[{'label': 'display', 'lat': 40.77832352747964, 'lng': -73.98911118507385}]",1882,US,New York,NY,United States,"['Riverside Blvd (65th & 72nd Sts)', 'New York, NY 10069', 'United States']",10069,,4adf50e7f964a520627921e3,Central park zoo new york
35,MUJI,Miscellaneous Shop,475 5th Ave,at E 41st St,40.75247095108687,-73.98134887218475,"[{'label': 'display', 'lat': 40.75247095108687, 'lng': -73.98134887218475}]",1865,US,New York,NY,United States,"['475 5th Ave (at E 41st St)', 'New York, NY 10017', 'United States']",10017,Midtown East,564e6919498e9cd069ba3df0,Central park zoo new york
36,New Amsterdam Theater,Theater,214 W 42nd St,btwn Broadway & 8th Ave,40.755844024448116,-73.98832119495094,"[{'label': 'display', 'lat': 40.755844024448116, 'lng': -73.98832119495094}]",1908,US,New York,NY,United States,"['214 W 42nd St (btwn Broadway & 8th Ave)', 'New York, NY 10036', 'United States']",10036,,4f139003e4b000502e3959c2,Central park zoo new york
37,Jacqueline Kennedy Onassis Reservoir,Reservoir,Central Park,btwn 85th & 96th St,40.784546812155064,-73.96436989470621,,1988,US,New York,NY,United States,"['Central Park (btwn 85th & 96th St)', 'New York, NY 10024', 'United States']",10024,Central Park,4a229fa8f964a520797d1fe3,Central park zoo new york
38,Schaller & Weber,Butcher,1654 2nd Ave,86th St.,40.77768033358095,-73.95192930892712,"[{'label': 'display', 'lat': 40.77768033358095, 'lng': -73.95192930892712}, {'label': 'entrance', 'lat': 40.777601, 'lng': -73.951733}]",2019,US,New York,NY,United States,"['1654 2nd Ave (86th St.)', 'New York, NY 10028', 'United States']",10028,,4b2fbd84f964a520dfee24e3,Central park zoo new york
39,City Swiggers,Beer Store,320 E 86th St,btw. 1st Ave. & 2nd Ave.,40.777514591474876,-73.95082007552988,"[{'label': 'display', 'lat': 40.777514591474876, 'lng': -73.95082007552988}, {'label': 'entrance', 'lat': 40.777382, 'lng': -73.950951}]",2087,US,New York,NY,United States,"['320 E 86th St (btw. 1st Ave. & 2nd Ave.)', 'New York, NY 10028', 'United States']",10028,,4e95c2f5108168120ad2f07e,Central park zoo new york
40,PlantShed,Flower Shop,555 Columbus Ave,at W 87th St,40.78699161930172,-73.97156685590744,"[{'label': 'display', 'lat': 40.78699161930172, 'lng': -73.97156685590744}]",2158,US,New York,NY,United States,"['555 Columbus Ave (at W 87th St)', 'New York, NY 10024', 'United States']",10024,,5abfa9de01235845ec89c1f4,Central park zoo new york
41,Carl Schurz Park,Park,599 E 86th St,at East End Ave,40.77511823969361,-73.94376326618595,"[{'label': 'display', 'lat': 40.77511823969361, 'lng': -73.94376326618595}]",2511,US,New York,NY,United States,"['599 E 86th St (at East End Ave)', 'New York, NY 10028', 'United States']",10028,,49ee4a7df964a52047681fe3,Central park zoo new york
42,Kitchen Arts & Letters,Bookstore,1435 Lexington Ave,at E 93rd St,40.784225883561795,-73.95213507194228,"[{'label': 'display', 'lat': 40.784225883561795, 'lng': -73.95213507194228}, {'label': 'entrance', 'lat': 40.784273, 'lng': -73.951943}]",2487,US,New York,NY,United States,"['1435 Lexington Ave (at E 93rd St)', 'New York, NY 10128', 'United States']",10128,,4aeca8edf964a52002ca21e3,Central park zoo new york
43,Gantry Plaza State Park,State / Provincial Park,474 48th Ave,at Center Blvd,40.74655794031174,-73.9580512046814,"[{'label': 'display', 'lat': 40.74655794031174, 'lng': -73.9580512046814}]",2615,US,Queens,NY,United States,"['474 48th Ave (at Center Blvd)', 'Long Island City, NY 11109', 'United States']",11109,Long Island City,43222200f964a5209c271fe3,Central park zoo new york
44,Riverside Park Promenade,Waterfront,Riverside Dr,at W 83rd St,40.788761710401126,-73.98291397770349,"[{'label': 'display', 'lat': 40.788761710401126, 'lng': -73.98291397770349}]",2533,US,New York,NY,United States,"['Riverside Dr (at W 83rd St)', 'New York, NY', 'United States']",,,4e653fd745ddda352ac83d80,Central park zoo new york
45,Equinox East 92nd Street,Gym,203 East 92nd Street,3rd Ave,40.7825,-73.95058,"[{'label': 'display', 'lat': 40.7825, 'lng': -73.95058}]",2442,US,New York,NY,United States,"['203 East 92nd Street (3rd Ave)', 'New York, NY 10128', 'United States']",10128,,574dc71c498ef19a1c178913,Central park zoo new york
46,Hunter's Point South Park,Park,Center Boulevard and Borden Avenue,Center Boulevard and Borden Avenue,40.742631898404746,-73.96070122718811,"[{'label': 'display', 'lat': 40.742631898404746, 'lng': -73.96070122718811}]",2934,US,Queens,NY,United States,"['Center Boulevard and Borden Avenue (Center Boulevard and Borden Avenue)', 'Long Island City, NY 11101', 'United States']",11101,Long Island City,521cd1c293cd469ce13dbb47,Central park zoo new york
47,The Cliffs at Long Island City,Climbing Gym,11-11 44th Dr,,40.74862722288911,-73.94889232182862,"[{'label': 'display', 'lat': 40.74862722288911, 'lng': -73.94889232182862}]",2864,US,Long Island City,NY,United States,"['11-11 44th Dr', 'Long Island City, NY 11101', 'United States']",11101,,51571a47e4b03e8de7ec9dbc,Central park zoo new york
48,East Meadow,Field,Central Park,5th Ave btwn 98th & 101st St,40.79015961797437,-73.95549774169922,"[{'label': 'display', 'lat': 40.79015961797437, 'lng': -73.95549774169922}]",2864,US,New York,NY,United States,"['Central Park (5th Ave btwn 98th & 101st St)', 'New York, NY 10029', 'United States']",10029,Central Park,4ba233dbf964a5206fe337e3,Central park zoo new york
49,Fifth Hammer Brewing Company,Brewery,10-28 46th Ave,,40.74655304120232,-73.95143837388332,"[{'label': 'display', 'lat': 40.74655304120232, 'lng': -73.95143837388332}]",2906,US,New York,NY,United States,"['10-28 46th Ave', 'New York, NY 11101', 'United States']",11101,Hunters Point,580bbe6c38fa27d5b5a442cc,Central park zoo new york
50,Kalustyan's,Gourmet Shop,123 Lexington Ave,at E 28th St,40.74283152687895,-73.98226690988776,"[{'label': 'display', 'lat': 40.74283152687895, 'lng': -73.98226690988776}, {'label': 'entrance', 'lat': 40.742795, 'lng': -73.982187}]",2893,US,New York,NY,United States,"['123 Lexington Ave (at E 28th St)', 'New York, NY 10016', 'United States']",10016,,45940e37f964a52055401fe3,Central park zoo new york
51,Madison Square Park,Park,Madison Ave,btwn E 23rd & E 26th St,40.74226204193276,-73.98800611495972,"[{'label': 'display', 'lat': 40.74226204193276, 'lng': -73.98800611495972}]",3132,US,New York,NY,United States,"['Madison Ave (btwn E 23rd & E 26th St)', 'New York, NY 10010', 'United States']",10010,,40b68100f964a5207d001fe3,Central park zoo new york
52,Conservatory Garden,Garden,1231 5th Ave,at 105th St,40.79386107302837,-73.952397108078,"[{'label': 'display', 'lat': 40.79386107302837, 'lng': -73.952397108078}]",3351,US,New York,NY,United States,"['1231 5th Ave (at 105th St)', 'New York, NY 10029', 'United States']",10029,,4a9ad8d2f964a520213320e3,Central park zoo new york
53,Equinox Gramercy,Gym,315 Park Ave S,24th St,40.74074907098539,-73.98577092778955,"[{'label': 'display', 'lat': 40.74074907098539, 'lng': -73.98577092778955}]",3211,US,New York,NY,United States,"['315 Park Ave S (24th St)', 'New York, NY 10010', 'United States']",10010,,574da377498ef19a1bd08764,Central park zoo new york
54,SoulCycle 19th,Cycle Studio,8 W 19th St,btwn 5th & 6th Ave,40.73943353393161,-73.99216844203444,"[{'label': 'display', 'lat': 40.73943353393161, 'lng': -73.99216844203444}, {'label': 'entrance', 'lat': 40.739315, 'lng': -73.992139}]",3573,US,New York,NY,United States,"['8 W 19th St (btwn 5th & 6th Ave)', 'New York, NY 10011', 'United States']",10011,,529f289511d21133dd08a7ec,Central park zoo new york
55,Gagosian Gallery,Art Gallery,555 W 24th St,btwn 10th & 11th Ave,40.74949263854115,-74.00604977829569,"[{'label': 'display', 'lat': 40.74949263854115, 'lng': -74.00604977829569}, {'label': 'entrance', 'lat': 40.749414, 'lng': -74.005971}]",3518,US,New York,NY,United States,"['555 W 24th St (btwn 10th & 11th Ave)', 'New York, NY 10011', 'United States']",10011,,442e41b2f964a520da311fe3,Central park zoo new york
56,High Line,Park,btwn Gansevoort & W 34th St,btwn 10th & 12th Ave,40.746825,-74.005507,"[{'label': 'display', 'lat': 40.746825, 'lng': -74.005507}]",3661,US,New York,NY,United States,"['btwn Gansevoort & W 34th St (btwn 10th & 12th Ave)', 'New York, NY 10011', 'United States']",10011,,40f1d480f964a5206a0a1fe3,Central park zoo new york
57,The Fhitting Room,Gym,31 W 19th St,btwn 5th & 6th Ave,40.739856864845336,-73.99319384310543,"[{'label': 'display', 'lat': 40.739856864845336, 'lng': -73.99319384310543}, {'label': 'entrance', 'lat': 40.739879, 'lng': -73.993022}]",3574,US,New York,NY,United States,"['31 W 19th St (btwn 5th & 6th Ave)', 'New York, NY 10011', 'United States']",10011,,54cd0dab498e6e5d8a9d7866,Central park zoo new york
58,Gramercy Tavern,American Restaurant,42 E 20th St,btwn Broadway & Park Ave,40.73859964402532,-73.98831951156392,"[{'label': 'display', 'lat': 40.73859964402532, 'lng': -73.98831951156392}]",3514,US,New York,NY,United States,"['42 E 20th St (btwn Broadway & Park Ave)', 'New York, NY 10003', 'United States']",10003,,3fd66200f964a520aee91ee3,Central park zoo new york
59,Fishs Eddy,Furniture / Home Store,889 Broadway,btwn E 19th & E 20th St,40.738605357398285,-73.99001680796049,"[{'label': 'display', 'lat': 40.738605357398285, 'lng': -73.99001680796049}, {'label': 'entrance', 'lat': 40.738705, 'lng': -73.990025}]",3572,US,New York,NY,United States,"['889 Broadway (btwn E 19th & E 20th St)', 'New York, NY 10003', 'United States']",10003,,4a5d186ff964a5202bbd1fe3,Central park zoo new york
60,Caffè Panna,Ice Cream Shop,77 Irving Pl,,40.736985,-73.98676,"[{'label': 'display', 'lat': 40.736985, 'lng': -73.98676}]",3632,US,New York,NY,United States,"['77 Irving Pl', 'New York, NY 10003', 'United States']",10003,,5d7d70ed72c4090008784186,Central park zoo new york
61,Malt & Mold,Gourmet Shop,362 2nd Ave,btwn 21st & 22nd St,40.736677,-73.981472,"[{'label': 'display', 'lat': 40.736677, 'lng': -73.981472}]",3536,US,New York,NY,United States,"['362 2nd Ave (btwn 21st & 22nd St)', 'New York, NY 10010', 'United States']",10010,Gramercy Park,545fd218498e729596469903,Central park zoo new york
62,Pier 63 Hudson River Park,Park,205 12th Ave,23rd Street,40.749500287685564,-74.00859475135803,"[{'label': 'display', 'lat': 40.749500287685564, 'lng': -74.00859475135803}]",3696,US,New York,NY,United States,"['205 12th Ave (23rd Street)', 'New York, NY 10001', 'United States']",10001,,4dd56920cc3f75159f13cb35,Central park zoo new york
63,Yoga To The People,Yoga Studio,2710 Broadway Fl 3,btwn W 104th St & W 103rd St,40.79958793827724,-73.96819700736744,"[{'label': 'display', 'lat': 40.79958793827724, 'lng': -73.96819700736744}]",3574,US,New York,NY,United States,"['2710 Broadway Fl 3 (btwn W 104th St & W 103rd St)', 'New York, NY 10025', 'United States']",10025,,54f39f29498ec36f934f3381,Central park zoo new york
64,Union Square Greenmarket,Farmers Market,1 Union Sq W,btwn 14th & 17th St,40.736296929163295,-73.9905813271794,,3826,US,New York,NY,United States,"['1 Union Sq W (btwn 14th & 17th St)', 'New York, NY 10003', 'United States']",10003,Union Square,49c27575f964a520f1551fe3,Central park zoo new york
65,David Zwirner Gallery,Art Gallery,537 W 20th St,at 11th Ave,40.74663515827365,-74.007328748703,"[{'label': 'display', 'lat': 40.74663515827365, 'lng': -74.007328748703}]",3794,US,New York,NY,United States,"['537 W 20th St (at 11th Ave)', 'New York, NY 10011', 'United States']",10011,,533d96d9498e88fc19384087,Central park zoo new york
66,Bakeri,Bakery,105 Freeman St,btwn Franklin & Manhattan Ave,40.73426471796698,-73.95755265756051,"[{'label': 'display', 'lat': 40.73426471796698, 'lng': -73.95755265756051}, {'label': 'entrance', 'lat': 40.73429, 'lng': -73.957528}]",3901,US,Brooklyn,NY,United States,"['105 Freeman St (btwn Franklin & Manhattan Ave)', 'Brooklyn, NY 11222', 'United States']",11222,,534d61c4498e9beff4c74e8b,Central park zoo new york
67,West 105th Street Dog Run - Riverside Park,Dog Run,105th St.,@ Riverside Dr.,40.80248358610179,-73.97144265286585,"[{'label': 'display', 'lat': 40.80248358610179, 'lng': -73.97144265286585}]",3883,US,New York,NY,United States,"['105th St. (@ Riverside Dr.)', 'New York, NY', 'United States']",,Upper West Side,4bc0fad074a9a5936018d1f6,Central park zoo new york
68,Los Tacos No. 1,Taco Place,75 9th Ave,,40.74224400629671,-74.00596115738153,"[{'label': 'display', 'lat': 40.74224400629671, 'lng': -74.00596115738153}]",4030,US,New York,NY,United States,"['75 9th Ave', 'New York, NY 10011', 'United States']",10011,Chelsea,5196b9ff498e8a6be4336a03,Central park zoo new york
69,Soothr,Thai Restaurant,204 E 13th St,3rd Ave,40.732287,-73.987287,"[{'label': 'display', 'lat': 40.732287, 'lng': -73.987287}]",4141,US,New York,NY,United States,"['204 E 13th St (3rd Ave)', 'New York, NY 10003', 'United States']",10003,,5ee66a36459579000887cd2b,Central park zoo new york
70,High Line 10th Ave Amphitheatre,Scenic Lookout,High Line,10th Ave & W 17th St,40.74398136118615,-74.00684429247669,"[{'label': 'display', 'lat': 40.74398136118615, 'lng': -74.00684429247669}]",3952,US,New York,NY,United States,"['High Line (10th Ave & W 17th St)', 'New York, NY 10011', 'United States']",10011,,4eb1877fd3e36bac670d2898,Central park zoo new york
71,Los Mariscos,Seafood Restaurant,409 West 15th St,9th Ave,40.74199972810892,-74.00589003225507,"[{'label': 'display', 'lat': 40.74199972810892, 'lng': -74.00589003225507}, {'label': 'entrance', 'lat': 40.742132, 'lng': -74.005809}]",4045,US,New York,NY,United States,"['409 West 15th St (9th Ave)', 'New York, NY 10011', 'United States']",10011,,57e9590a498e2d323e20c667,Central park zoo new york
72,Dandelion Wine,Wine Shop,153 Franklin St,,40.731667,-73.958015,"[{'label': 'entrance', 'lat': 40.731674, 'lng': -73.958013}, {'label': 'display', 'lat': 40.731667, 'lng': -73.958015}]",4166,US,Brooklyn,NY,United States,"['153 Franklin St', 'Brooklyn, NY 11222', 'United States']",11222,,4bd61b737b1876b008038c86,Central park zoo new york
73,Peridance Capezio Center,Dance Studio,126 E 13th St,btwn 3rd & 4th Ave,40.73298682271572,-73.98852241900113,"[{'label': 'display', 'lat': 40.73298682271572, 'lng': -73.98852241900113}]",4101,US,New York,NY,United States,"['126 E 13th St (btwn 3rd & 4th Ave)', 'New York, NY 10003', 'United States']",10003,,4b6cba70f964a520ae4f2ce3,Central park zoo new york
74,Strand Bookstore,Bookstore,828 Broadway,at E 12th St,40.73314000684355,-73.99091161094675,"[{'label': 'display', 'lat': 40.73314000684355, 'lng': -73.99091161094675}]",4159,US,New York,NY,United States,"['828 Broadway (at E 12th St)', 'New York, NY 10003', 'United States']",10003,,4a8cc1d4f964a520130f20e3,Central park zoo new york
75,Astoria Park,Park,at Shore & Ditmars Blvd,19th St,40.77731479754369,-73.92379168498111,"[{'label': 'display', 'lat': 40.77731479754369, 'lng': -73.92379168498111}]",4192,US,Astoria,NY,United States,"['at Shore & Ditmars Blvd (19th St)', 'Astoria, NY 11106', 'United States']",11106,,43222200f964a5209a271fe3,Central park zoo new york
76,Trader Joe's Wine Shop,Wine Shop,138 E 14th St,btwn Irving Pl & 3rd Ave,40.73374950502162,-73.98812798965065,"[{'label': 'display', 'lat': 40.73374950502162, 'lng': -73.98812798965065}, {'label': 'entrance', 'lat': 40.733559, 'lng': -73.988201}]",4010,US,New York,NY,United States,"['138 E 14th St (btwn Irving Pl & 3rd Ave)', 'New York, NY 10003', 'United States']",10003,,4a319883f964a520fc991fe3,Central park zoo new york
77,WNYC Transmitter Park,Park,2 Greenpoint Ave,at West St,40.729958061792885,-73.96073341369629,"[{'label': 'display', 'lat': 40.729958061792885, 'lng': -73.96073341369629}]",4293,US,Brooklyn,NY,United States,"['2 Greenpoint Ave (at West St)', 'Brooklyn, NY 11222', 'United States']",11222,,4a4e944df964a520baae1fe3,Central park zoo new york
78,Riverside Park,Park,Riverside Dr,btwn W 59th St & St. Clair Pl,40.806809433439135,-73.96865129470825,,4372,US,New York,NY,United States,"['Riverside Dr (btwn W 59th St & St. Clair Pl)', 'New York, NY 10025', 'United States']",10025,,4a06ff94f964a52017731fe3,Central park zoo new york
79,Milkflower,Pizza Place,34-12 31st Ave,btwn 34th & 35th St,40.76303652205835,-73.92070512501088,"[{'label': 'display', 'lat': 40.76303652205835, 'lng': -73.92070512501088}]",4341,US,Astoria,NY,United States,"['34-12 31st Ave (btwn 34th & 35th St)', 'Astoria, NY 11106', 'United States']",11106,"Astoria, Queens, NY",51831cbf498e954462363bd3,Central park zoo new york
80,Juice Vitality,Juice Bar,192 1st Ave,btwn E 11 & 12th St,40.729714154152404,-73.98365020751953,"[{'label': 'display', 'lat': 40.729714154152404, 'lng': -73.98365020751953}]",4333,US,New York,NY,United States,"['192 1st Ave (btwn E 11 & 12th St)', 'New York, NY 10009', 'United States']",10009,,56965f2e498e683a33b43263,Central park zoo new york
81,Aux Merveilleux de Fred,Bakery,37 8th Ave,at W 4th St,40.738334,-74.004114,"[{'label': 'display', 'lat': 40.738334, 'lng': -74.004114}, {'label': 'entrance', 'lat': 40.738342, 'lng': -74.004102}]",4244,US,New York,NY,United States,"['37 8th Ave (at W 4th St)', 'New York, NY 10014', 'United States']",10014,,54b1b78e498ee334f9b739be,Central park zoo new york
82,Mah-Ze-Dahr Bakery,Bakery,28 Greenwich Ave,Charles Street,40.735117,-74.000052,"[{'label': 'display', 'lat': 40.735117, 'lng': -74.000052}]",4328,US,New York,NY,United States,"['28 Greenwich Ave (Charles Street)', 'New York, NY 10011', 'United States']",10011,,568c0ce238fafac5f5ffe631,Central park zoo new york
83,4 Charles Prime Rib,Steakhouse,4 Charles St,Greenwich Ave,40.735219495923204,-74.0006488188871,"[{'label': 'display', 'lat': 40.735219495923204, 'lng': -74.0006488188871}, {'label': 'entrance', 'lat': 40.735185, 'lng': -74.000661}]",4346,US,New York,NY,United States,"['4 Charles St (Greenwich Ave)', 'New York, NY 10014', 'United States']",10014,,585164b77220e62219c9aeb6,Central park zoo new york
84,Paulie Gee’s,Pizza Place,708 Continental Cir #1514,,40.729801246987186,-73.95852046352437,"[{'label': 'display', 'lat': 40.729801246987186, 'lng': -73.95852046352437}]",4355,US,Brooklyn,NY,United States,"['708 Continental Cir #1514', 'Brooklyn, NY 11222', 'United States']",11222,,4b9709fcf964a520c4f434e3,Central park zoo new york
85,Levain Bakery,Bakery,2167 Frederick Douglass Blvd,117th St,40.80489688300106,-73.9550975367771,"[{'label': 'display', 'lat': 40.80489688300106, 'lng': -73.9550975367771}, {'label': 'entrance', 'lat': 40.804945, 'lng': -73.9552}]",4385,US,New York,NY,United States,"['2167 Frederick Douglass Blvd (117th St)', 'New York, NY 10026', 'United States']",10026,,4d4f05ec9a2a6ea8dd5a286f,Central park zoo new york
86,McNally Jackson Store: Goods for the Study,Stationery Store,50 W 8th St,6th Avenue,40.73323795162194,-73.99873304139692,"[{'label': 'display', 'lat': 40.73323795162194, 'lng': -73.99873304139692}]",4446,US,New York,NY,United States,"['50 W 8th St (6th Avenue)', 'New York, NY 10011', 'United States']",10011,,58557b6b158b966de0f7e137,Central park zoo new york
87,Van Leeuwen Ice Cream,Ice Cream Shop,152 W 10th St,at Waverly Pl,40.734397,-74.001271,"[{'label': 'display', 'lat': 40.734397, 'lng': -74.001271}]",4451,US,New York,NY,United States,"['152 W 10th St (at Waverly Pl)', 'New York, NY 10012', 'United States']",10012,,54e7da22498e3dd7390e3136,Central park zoo new york
88,Washington Square Park,Park,W 4th St,btwn MacDougal St & University Pl,40.73081579656163,-73.9974582195282,"[{'label': 'display', 'lat': 40.73081579656163, 'lng': -73.9974582195282}]",4629,US,New York,NY,United States,"['W 4th St (btwn MacDougal St & University Pl)', 'New York, NY 10012', 'United States']",10012,,40abf500f964a52035f31ee3,Central park zoo new york
89,Ample Hills Creamery,Ice Cream Shop,34-02 30th Ave,34th St,40.765562,-73.919012,"[{'label': 'display', 'lat': 40.765562, 'lng': -73.919012}]",4460,US,Astoria,NY,United States,"['34-02 30th Ave (34th St)', 'Astoria, NY 11103', 'United States']",11103,,5ae115d7c84d18002393461a,Central park zoo new york
90,Three Lives & Company,Bookstore,154 W 10th St,at Waverly Pl,40.73442736120523,-74.00139223025236,"[{'label': 'display', 'lat': 40.73442736120523, 'lng': -74.00139223025236}, {'label': 'entrance', 'lat': 40.734388, 'lng': -74.001534}]",4454,US,New York,NY,United States,"['154 W 10th St (at Waverly Pl)', 'New York, NY 10014', 'United States']",10014,,4a7cbad7f964a5205fed1fe3,Central park zoo new york
