,name,categories,address,lat,lng,labeledLatLngs,distance,postalCode,cc,city,state,country,formattedAddress,crossStreet,neighborhood,id
57,Neapolitan Express,Pizza Place,40 Wall St,40.70690829999999,-74.0096853,"[{'label': 'display', 'lat': 40.70690829999999, 'lng': -74.0096853}]",671,10005,US,New York,NY,United States,"['40 Wall St', 'New York, NY 10005', 'United States']",,,552572df498e2692b4103b57
58,Sauce Pizzeria,Pizza Place,84 Rivington St,40.720368,-73.98883,"[{'label': 'display', 'lat': 40.720368, 'lng': -73.98883}]",2253,10002,US,New York,NY,United States,"['84 Rivington St', 'New York, NY 10002', 'United States']",,,5c3fa558625a66002ce432aa
59,New Park Pizzeria,Pizza Place,156-71 Crossbay Blvd,40.662697632892595,-73.84060509712394,"[{'label': 'display', 'lat': 40.662697632892595, 'lng': -73.84060509712394}, {'label': 'entrance', 'lat': 40.662697, 'lng': -73.840472}]",15588,11414,US,Howard Beach,NY,United States,"['156-71 Crossbay Blvd (at 157th Ave)', 'Howard Beach, NY 11414', 'United States']",at 157th Ave,,4b622630f964a52092382ae3
60,Kesté,Pizza Place,77 Fulton St,40.709132,-74.004676,"[{'label': 'display', 'lat': 40.709132, 'lng': -74.004676}]",808,10038,US,New York,NY,United States,"['77 Fulton St (Ann St)', 'New York, NY 10038', 'United States']",Ann St,,58f54555e2ead178a41de832
61,Porta,Pizza Place,135 Newark Ave,40.72019873969309,-74.04366143023263,"[{'label': 'display', 'lat': 40.72019873969309, 'lng': -74.04366143023263}]",2708,07302,US,Jersey City,NJ,United States,"['135 Newark Ave (Erie)', 'Jersey City, NJ 07302', 'United States']",Erie,,54764818498e156b22125771
62,Posto,Pizza Place,310 2nd Ave,40.734843,-73.982896,"[{'label': 'display', 'lat': 40.734843, 'lng': -73.982896}]",3590,10003,US,New York,NY,United States,"['310 2nd Ave (at E 18th St.)', 'New York, NY 10003', 'United States']",at E 18th St.,,43c4bb46f964a5205a2d1fe3
63,Bread and Salt,Pizza Place,435 Palisade Ave,40.743533,-74.044925,"[{'label': 'display', 'lat': 40.743533, 'lng': -74.044925}]",4383,07307,US,Jersey City,NJ,United States,"['435 Palisade Ave', 'Jersey City, NJ 07307', 'United States']",,,5d0d5f50820cc40029a73534
64,Pizza Moto,Pizza Place,338 Hamilton Ave,40.67480235603758,-74.00037496011366,"[{'label': 'display', 'lat': 40.67480235603758, 'lng': -74.00037496011366}, {'label': 'entrance', 'lat': 40.674645, 'lng': -74.000684}]",4312,11231,US,Brooklyn,NY,United States,"['338 Hamilton Ave', 'Brooklyn, NY 11231', 'United States']",,,56204302498eef9b2ffb2cc9
65,L'Industrie Pizzeria,Pizza Place,254 S 2nd St,40.711606,-73.957802,"[{'label': 'display', 'lat': 40.711606, 'lng': -73.957802}]",4684,11211,US,Brooklyn,NY,United States,"['254 S 2nd St (Havemeyer)', 'Brooklyn, NY 11211', 'United States']",Havemeyer,,55135426498e9dee8f19cc5f
66,Alligator Lounge,Pizza Place,600 Metropolitan Ave,40.714055295268786,-73.94901820996134,"[{'label': 'display', 'lat': 40.714055295268786, 'lng': -73.94901820996134}]",5428,11211,US,Brooklyn,NY,United States,"['600 Metropolitan Ave (btwn Lorimer & Leonard St)', 'Brooklyn, NY 11211', 'United States']",btwn Lorimer & Leonard St,,411ff900f964a520290c1fe3
67,Hoek Pizza,Pizza Place,117 Ferris St,40.677961,-74.016816,"[{'label': 'display', 'lat': 40.677961, 'lng': -74.016816}]",3831,11231,US,Brooklyn,NY,United States,"['117 Ferris St (Coffey St)', 'Brooklyn, NY 11231', 'United States']",Coffey St,,5d463162ab5d1c000867bd8d
68,F&F Pizzeria,Pizza Place,459 Court St,40.677342,-73.998162,"[{'label': 'display', 'lat': 40.677342, 'lng': -73.998162}, {'label': 'entrance', 'lat': 40.677319, 'lng': -73.998179}]",4093,11231,US,Brooklyn,NY,United States,"['459 Court St (Luquer St)', 'Brooklyn, NY 11231', 'United States']",Luquer St,,5d56bcea6ac2400008de14d9
69,Numero 28,Pizza Place,28 Carmine St,40.730251936189816,-74.00276479826218,"[{'label': 'display', 'lat': 40.730251936189816, 'lng': -74.00276479826218}, {'label': 'entrance', 'lat': 40.730127, 'lng': -74.002781}]",2189,10014,US,New York,NY,United States,"['28 Carmine St (at Bleecker St)', 'New York, NY 10014', 'United States']",at Bleecker St,,4e4e4be3bd4101d0d7a71810
70,Double Zero,Pizza Place,65 2nd Ave,40.72610826388715,-73.98980624666206,"[{'label': 'display', 'lat': 40.72610826388715, 'lng': -73.98980624666206}]",2510,10003,US,New York,NY,United States,"['65 2nd Ave (at E 4th St)', 'New York, NY 10003', 'United States']",at E 4th St,East Village,569a9926498e55968fcb812d
71,Village Square Pizza,Pizza Place,147 Avenue A,40.72746410480142,-73.98251488833888,"[{'label': 'display', 'lat': 40.72746410480142, 'lng': -73.98251488833888}]",3099,10009,US,New York,NY,United States,"['147 Avenue A (E 9th St)', 'New York, NY 10009', 'United States']",E 9th St,,5c92dfbfc53093002c48530b
72,Paulie Gee’s,Pizza Place,708 Continental Cir #1514,40.729801246987186,-73.95852046352437,"[{'label': 'display', 'lat': 40.729801246987186, 'lng': -73.95852046352437}]",5017,11222,US,Brooklyn,NY,United States,"['708 Continental Cir #1514', 'Brooklyn, NY 11222', 'United States']",,,4b9709fcf964a520c4f434e3
