,name,categories,address,lat,lng,labeledLatLngs,distance,postalCode,cc,city,state,country,formattedAddress,crossStreet,neighborhood,id
13,Emmy Squared,Pizza Place,364 Grand St,40.712166,-73.955705,"[{'label': 'display', 'lat': 40.712166, 'lng': -73.955705}, {'label': 'entrance', 'lat': 40.712241, 'lng': -73.955659}]",4860,11211,US,Brooklyn,NY,United States,"['364 Grand St (at Marcy Ave)', 'Brooklyn, NY 11211', 'United States']",at Marcy Ave,,570139a9498e16178005c729
14,Emily,Pizza Place,919 Fulton St,40.683419946744586,-73.96655063949262,"[{'label': 'display', 'lat': 40.683419946744586, 'lng': -73.96655063949262}]",5088,11238,US,Brooklyn,NY,United States,"['919 Fulton St (btwn Clinton & Waverly Ave)', 'Brooklyn, NY 11238', 'United States']",btwn Clinton & Waverly Ave,,52c6e56211d293ba81a6ff9b
15,Speedy Romeo,Pizza Place,376 Classon Ave,40.68739667057696,-73.95987868865194,"[{'label': 'display', 'lat': 40.68739667057696, 'lng': -73.95987868865194}, {'label': 'entrance', 'lat': 40.687527, 'lng': -73.959859}]",5292,11238,US,Brooklyn,NY,United States,"['376 Classon Ave (at Greene Ave)', 'Brooklyn, NY 11238', 'United States']",at Greene Ave,,4ed14ab093ad987b4e200de1
16,Vezzo Thin Crust Pizza,Pizza Place,178 Lexington Ave,40.74450945040423,-73.98117652160661,"[{'label': 'display', 'lat': 40.74450945040423, 'lng': -73.98117652160661}]",4496,10016,US,New York,NY,United States,"['178 Lexington Ave (at E 31st St.)', 'New York, NY 10016', 'United States']",at E 31st St.,,44ae8bc6f964a52027351fe3
17,Best Pizza,Pizza Place,33 Havemeyer St,40.71568775986685,-73.95354686702224,"[{'label': 'display', 'lat': 40.71568775986685, 'lng': -73.95354686702224}]",5056,11211,US,Brooklyn,NY,United States,"['33 Havemeyer St (btwn N 7th & N 8th St.)', 'Brooklyn, NY 11211', 'United States']",btwn N 7th & N 8th St.,,4ca36504d5a2a143def14890
18,Luzzo's,Pizza Place,211 1st Ave,40.73056492935832,-73.98319149074905,"[{'label': 'display', 'lat': 40.73056492935832, 'lng': -73.98319149074905}]",3255,10003,US,New York,NY,United States,"['211 1st Ave (btwn E 12th & E 13th St)', 'New York, NY 10003', 'United States']",btwn E 12th & E 13th St,,4a790030f964a520cbe61fe3
19,B Side,Pizza Place,370 W 51st St,40.763986077348385,-73.98814453002669,"[{'label': 'display', 'lat': 40.763986077348385, 'lng': -73.98814453002669}, {'label': 'entrance', 'lat': 40.76391, 'lng': -73.988229}]",6134,10019,US,New York,NY,United States,"['370 W 51st St', 'New York, NY 10019', 'United States']",,,540a5065498e234757a1e623
20,Vinnie's Pizzeria,Pizza Place,148 Bedford Ave,40.718849475608906,-73.95664316449509,"[{'label': 'display', 'lat': 40.718849475608906, 'lng': -73.95664316449509}]",4836,11249,US,Brooklyn,NY,United States,"['148 Bedford Ave (at N 9th St)', 'Brooklyn, NY 11249', 'United States']",at N 9th St,,3fd66200f964a52056ee1ee3
21,Barboncino,Pizza Place,781 Franklin Ave,40.67210399669248,-73.95741215507334,"[{'label': 'display', 'lat': 40.67210399669248, 'lng': -73.95741215507334}]",6500,11238,US,Brooklyn,NY,United States,"['781 Franklin Ave (btwn St Johns & Lincoln Pl)', 'Brooklyn, NY 11238', 'United States']",btwn St Johns & Lincoln Pl,,4e14d383d4c0e3d78b279017
22,Roberta's Pizza,Pizza Place,261 Moore St,40.70501507088636,-73.93361652500724,"[{'label': 'display', 'lat': 40.70501507088636, 'lng': -73.93361652500724}]",6773,11206,US,Brooklyn,NY,United States,"['261 Moore St (at Bogart St)', 'Brooklyn, NY 11206', 'United States']",at Bogart St,,47e100b9f964a520414e1fe3
23,Capizzi,Pizza Place,547 9th Ave,40.757312071957266,-73.99346864470768,"[{'label': 'display', 'lat': 40.757312071957266, 'lng': -73.99346864470768}]",5285,10018,US,New York,NY,United States,"['547 9th Ave (at W 40th St)', 'New York, NY 10018', 'United States']",at W 40th St,,4c9e590b542b224b4945f39f
24,Waldy’s Wood Fired Pizza & Penne,Pizza Place,800 Avenue of the Americas,40.745583,-73.990768,"[{'label': 'display', 'lat': 40.745583, 'lng': -73.990768}]",4166,10001,US,New York,NY,United States,"['800 Avenue of the Americas (btwn W 27th & W 28th St)', 'New York, NY 10001', 'United States']",btwn W 27th & W 28th St,NoMad,4b116915f964a520047c23e3
25,Arturo's Restaurant,Pizza Place,106 W Houston St,40.727407,-74.000378,"[{'label': 'display', 'lat': 40.727407, 'lng': -74.000378}, {'label': 'entrance', 'lat': 40.727385, 'lng': -74.000407}]",2006,10012,US,New York,NY,United States,"['106 W Houston St (at Thompson St.)', 'New York, NY 10012', 'United States']",at Thompson St.,,3fd66200f964a5209ae31ee3
26,Lombardi's Coal Oven Pizza,Pizza Place,32 Spring St,40.721636254430805,-73.99563495302904,"[{'label': 'display', 'lat': 40.721636254430805, 'lng': -73.99563495302904}]",1819,10012,US,New York,NY,United States,"['32 Spring St (at Mott St)', 'New York, NY 10012', 'United States']",at Mott St,,3fd66200f964a52062e61ee3
27,Ribalta,Pizza Place,48 E 12th St,40.733258,-73.991664,"[{'label': 'display', 'lat': 40.733258, 'lng': -73.991664}]",2964,10003,US,New York,NY,United States,"['48 E 12th St (btwn University Pl & Broadway)', 'New York, NY 10003', 'United States']",btwn University Pl & Broadway,,4f77a50fe4b05cde611bd97c
28,Don Antonio by Starita,Pizza Place,309 W 50th St,40.7627178,-73.98670760000002,"[{'label': 'display', 'lat': 40.7627178, 'lng': -73.98670760000002}]",6046,10019,US,New York,NY,United States,"['309 W 50th St (at 8th Avenue)', 'New York, NY 10019', 'United States']",at 8th Avenue,,4f16b98fe4b0f2c21698586c
29,Tappo,Pizza Place,49 W 24th St,40.743270950639015,-73.9917348464953,"[{'label': 'display', 'lat': 40.743270950639015, 'lng': -73.9917348464953}]",3900,10010,US,New York,NY,United States,"['49 W 24th St (btwn Broadway & 6th Ave.)', 'New York, NY 10010', 'United States']",btwn Broadway & 6th Ave.,,4d7fb327b25d6dcb33d5d242
30,Artichoke Basille’s Pizza,Pizza Place,321 E 14th St,40.732028,-73.983921,"[{'label': 'display', 'lat': 40.732028, 'lng': -73.983921}, {'label': 'entrance', 'lat': 40.73208, 'lng': -73.983917}]",3313,10003,US,New York,NY,United States,"['321 E 14th St (btwn 1st & 2nd Ave)', 'New York, NY 10003', 'United States']",btwn 1st & 2nd Ave,Gramercy Park,4800619cf964a520ec4e1fe3
31,Artichoke Basille's Pizza & Bar,Pizza Place,114 10th Ave,40.74398619943481,-74.00666236380273,"[{'label': 'display', 'lat': 40.74398619943481, 'lng': -74.00666236380273}, {'label': 'entrance', 'lat': 40.744091, 'lng': -74.006584}]",3573,10011,US,New York,NY,United States,"['114 10th Ave (btwn W 17th & W 18th St)', 'New York, NY 10011', 'United States']",btwn W 17th & W 18th St,,4c6c3b1323c1a1cd5efc18cf
32,Grimaldi's,Pizza Place,411 Washington St,40.74167406908621,-74.02957750973907,"[{'label': 'display', 'lat': 40.74167406908621, 'lng': -74.02957750973907}, {'label': 'entrance', 'lat': 40.741359, 'lng': -74.029528}]",3548,07030,US,Hoboken,NJ,United States,"['411 Washington St (btwn 4th and 5th)', 'Hoboken, NJ 07030', 'United States']",btwn 4th and 5th,,4ca50f407334236a60ef1258
33,Harry's Italian Pizza Bar,Pizza Place,2 Gold St,40.7076335455641,-74.00699585960496,"[{'label': 'display', 'lat': 40.7076335455641, 'lng': -74.00699585960496}]",742,10038,US,New York,NY,United States,"['2 Gold St (at Maiden Ln.)', 'New York, NY 10038', 'United States']",at Maiden Ln.,,4a4560a7f964a5201aa81fe3
34,Benny Tudino's,Pizza Place,622 Washington St,40.74419827547744,-74.02889639843647,"[{'label': 'display', 'lat': 40.74419827547744, 'lng': -74.02889639843647}, {'label': 'entrance', 'lat': 40.744116, 'lng': -74.029055}]",3788,07030,US,Hoboken,NJ,United States,"['622 Washington St (btwn 6th & 7th)', 'Hoboken, NJ 07030', 'United States']",btwn 6th & 7th,,4a9ac1b1f964a520813220e3
35,Numero 28 – Pizzeria Napoletana,Pizza Place,176 2nd Ave,40.73053501328289,-73.98624010618222,"[{'label': 'display', 'lat': 40.73053501328289, 'lng': -73.98624010618222}]",3057,10003,US,New York,NY,United States,"['176 2nd Ave (Btw 11th And 12th)', 'New York, NY 10003', 'United States']",Btw 11th And 12th,,4b3c2146f964a520178225e3
36,Grimaldi's Pizzeria,Pizza Place,1 Front St,40.70251245984901,-73.99314782720094,"[{'label': 'display', 'lat': 40.70251245984901, 'lng': -73.99314782720094}, {'label': 'entrance', 'lat': 40.702569, 'lng': -73.993177}]",2019,11201,US,Brooklyn,NY,United States,"['1 Front St (at Cadman Plaza W)', 'Brooklyn, NY 11201', 'United States']",at Cadman Plaza W,,3fd66200f964a520e9e81ee3
